EXPENSE,DESCRIPTION
0,HOT TOPIC
0,DRAEGER'S BLACKHAW
0,ATM CASH DEPOSIT
0,KIKI BROWS
0,WELLS FARGO
0,FRANCHISE TAX
0,ACCT ANALYSIS DIRECT DB
0,ATM CHECK DEPOSIT
0,CHECK
0,THE HOME DEPOT
0,MACY*S WEST
0,IDENTIX IDENTIFICATION SACAMENTO
0,VOLT MANAGEMENT
0,DOLLAR TR
0,SAVEMART
0,ROSS STORES
0,CA DEPT OF INSURANCE
0,3250 W GRANTLINE RD    TRACY
0,NEW WORLD
0,WEDBUSH SECURITI PROCEEDS
0,HOLLYWOOD VIDEO
0,BAY EAST ASSOC OF REAL
0,IRS  TREAS
0,DVD PLAY
0,TARGET
0,WALGREENS
0,7-ELEVEN
0,REDBOX
0,BIG LOTS
0,RALEY'S
0,RVT
0,SAN RAMON V USD        925525031
0,FTB MCT REFUND
0,SAFEWAY
0,SPORTS
0,Fotolia
0,DVDPLAY
0,AMZN
0,NETFLIX
0,EAST HAYWARD GROCER
0,FOOD MAXX
0,WALMART
0,DRAEGER
0,BLU*
0,CHARTER COMM
0,RITE AID
0,GOOD NAILS
0,LUCKY
0,COSTCO WHSE
0,LAFAYETE RESRVOIR
0,NOB HILL
1,ACCOUNTING
3,AMERICAN EXPRESS
3,SERVICE FEE
3,INSUFFICIENT FUNDS FEE
4,Barbara Kelley
4,CITY OF WALNUT CREEK
4,LEGOLAND
4,OAKLAND ZOO
4,Wal-Mart Super Center
4,CVS/PHARMACY
6,SMILECARE
6,DELTACARE
6,UNIVERSITY DENTAL
6,HORIZONS DENTAL
6,COUNTRY FAIR DENTAL
7,TRADING
7,I-CAR
7,BLU*cabear.com
7,ZOOSK
8,CSU FEES
8,CHABOT COLLEGE BKSTR#1 HAYARD
8,Campus
8,BAY BOOKS
8,MT DIABLO ADULT EDUCAT
8,CSUSTAN
8,CAL STATE EAST BAY
8,CHABOT
8,UNIVERSITY BKST
10,UPS
10,FEDEX
10,USPS
11,KAISER
11,LASER ADVANTAGE MEDISPA
11,LASER ADVANTAGE MEDISPA
11,CHIROPRACTIC
13,ASTOUND PWRD BY WAVE
14,IMAZING
14,APPLE.COM
14,ZANDONELLA REPORTING
14,CITY OF MARTINEZ
14,COPE FAMILY SUPPORT
16,KINKOS
17,PRODUCT SIGN SUPPLIES
17,CENTRAL CALIFORNIA
17,THE HOME DEPOT
17,SIGNS
17,MIDWEST SIGN
17,KENT ADHESIVE PRODUCTS
17,KAPCO
17,FELLERS
17,DENCO SALES
17,COAST ALUMINUM
18,FRESH & NATUAL CAFE 46 HAYARD
18,DOMINO
18,RESTAURANT
18,SIZZLER
18,JAMBA JUICE
18,ROCKINJUMP
18,SUPER FRANKS
18,Deli
18,CATTLEMEN
18,Granzella's
18,ASCONA PIZZA
18,GRANZELLA'S INN
18,HOUSE OF BASIL
18,COVEYS SPORTS GRILL
18,THE BLACK SHEEP PUB
18,CARROWS
18,ROTTEN ROBBIE
18,FRESH CHOICE
18,3 THAI RESTAURANT
18,FAT CACTUS GRILL
18,STEAK
18,COFFEE
18,ROCKINJUMP
18,CASA MARIA
18,ROUNDTABLE
18,HAYES VALLEY
18,FRESH & NATURAL CAFï¿½
18,THE BRIDGES GOLF CLUB
18,DAVE & BUSTERS
18,PEETS
18,SUBWAY
18,FRESH&NATURAL
18,TACO BELL
18,FRESH & EASY
18,CASA OROZCO
18,POPEYES
18,RESTAURANT
18,T4
18,GRILL
18,TOMATINA
18,CHILI'S
18,CREAMERY
18,FLAMAS
18,CAL-NEVA RESORT
18,PANERA
18,RICHARDS
18,BEVERAGES
18,SUSHI
18,BAR
18,SIZZLER
18,DOMINO
18,POT PIE PARADISE
18,AUSTINS RESTAURANT
18,BURGER KING
18,IMPARK
18,PIERSIDE SEAFOOD
18,SH BOOM
18,CALIFORNIA PIZZA
18,YOPPI YOGURT
18,REDUX
18,THE PRICKLY PEAR
18,CAFE
18,CHEESECAKE FACTORY
18,ON THE BORDER
18,SUPER DUPER
18,GOLD COAST GRILL
18,SUGANDH INDIAN CUISINE
18,AQUI CUPERTINO
18,JACK IN THE BO
18,JOE  THE JUICE
18,MIKES SPORTS LOUNGE
18,SKATES ON THE BAY
18,GOURMET BURRITO
18,RUBIO'S
18,DOMINOS PIZZA
18,ROUND TABLE PIZZA
18,IHOP
18,WENDY'S
18,APPLEBEES
18,FIRKIN & BEAVER
18,CHIPOTLE
18,SONIC DRIVE
18,TEXAS ROADHOUSE
18,CHINESE GOURMET
18,SAMMY S RESTAURANT
18,BISTRO 92
18,FAMOUS DAVE
18,TOP THIS FROZEN YOGURT
18,MCDONALD'S
18,RODZ GRILLE
18,ORIGINAL MELS
18,BAJA FRESH
18,BRIDGE BAY TALE
18,FIRE OF BRAZIL
18,PANDA EXPRESS
18,CARL JR'S
18,COCO'S
18,STARBUCKS
18,DRAEGERS
18,PEET'S
18,CARLS JR
18,PIZZA GUYS
18,RUSTY'S
18,MELO'S PIZZA
18,HAPPYLEMON
18,ZEN LOUNGE
18,LOS PANCHOS
18,BELLA UNION RESTAURANT
18,SNOWSHOE BREWING
18,WENDYS
18,MEXICALI ROSE
18,MIKE'S SPORTS BAR
18,JAMBER
18,JOE MAMMAS
18,EL TORITO
18,JUICY DOG
18,OZUMO
18,QUIZNOS
18,CHEVYS
18,PREMIER AMUSE VEND
18,IZZY'S STEAKS
18,CHOW
18,COUNTRY WAFFLES
19,eBay
19,TARGET
19,PAYPAL
19,COPY PACIFIC
19,OFFICE MAX
19,WAL-MART
19,STAPLES
19,Amazon
19,LONGS DRUG STORES
19,COPY PACIFIC
19,BEST BUY
19,OFFICE DEPOT
21,PARKING
21,City of San Ramon Park
22,MOBILE LIFE
22,SPRINT
22,T-MOBILE
22,VZWRLSS
22,WWW.SKYPE.COM
22,METROPCS
22,SKYPE
22,XFINITY MOBILE
22,FIX N GO
25,ACE HARDWARE
25,RADIOSHACK
27,UBER
27,AMTRAK
27,FASTRAK
27,VELOFIX EAST BAY
27,945 MARKET SAN FRANCISCO
27,CLIPPER SERVICES
27,PASSPORT
27,GREYHOUND
28,PG&E
28,MOUNTAIN HOUSE
29,AUTO SERVICE
29,MONUMENT CAR PARTS
29,KEY
29,KRAGEN
29,Tower Mart
29,CYCLE GEAR
29,CHAMOIS
29,CARQUEST
29,OREILLY AUTO
30,VALERO
30,EXXONMOBIL
30,CIRCLE
30,CHEVRON
30,JIFFY LUBE
30,76 
30,ROESBERY
30,SAFEWAY FUEL
30,SAFEWAY  FUEL
30,SHELL OIL
30,UNION 76
30,Fuel
30,QUIK STOP
30,COSTCO GAS
30,PETRO
30,SHELL SERVICE STATION
30,ARCO
30,GAS
31,STATE FARM
31,PROGRESSIVE
32,DMV
32,DISCOUNT SMOG
32,TRAFFIC
32,SMOG
32,SUPERIOR COURT
33,BAY EQUIPMENT
33,MONUMENT CAR
33,SPEEDEE
33,MOTOSPORTS
33,MOTORSPORT
33,BEAR
33,BIG O TIRES
34,TREDS
34,AAL STAR TIRE
36,NETWORK SOLUTIONS
36,YAHOO
36,GOOGLE
36,COMCAST CABLE
36,COMCAST
36,GODADDY.COM
